real,imag
0.95694,-0.290285
0.994515,0.104598
0.875144,0.483863
0.616667,0.787224
0.259313,0.965793
-0.140373,0.990099
-0.518372,0.855155
-0.813423,0.581672
-0.977028,0.21311
-0.981581,-0.191045
-0.82524,-0.564783
-0.532647,-0.846338
-0.151281,-0.988491
0.256071,-0.966658
0.62156,-0.783366
0.883588,-0.468265
0.99729,-0.0735646
0.942413,0.334451
0.727149,0.686479
0.387196,0.921997
-0.0199404,0.999801
-0.424519,0.905419
-0.756457,0.654044
-0.957523,0.288357
-0.99171,-0.128498
-0.851908,-0.523692
-0.561614,-0.827399
-0.171245,-0.985228
0.250413,-0.968139
0.628222,-0.778034
0.894085,-0.447898
0.99934,-0.0363282
0.92388,0.382683
0.68025,0.73298
0.31186,0.950128
-0.114509,0.993422
-0.520666,0.85376
-0.83131,0.555809
-0.988081,0.153934
-0.960724,-0.277507
-0.753187,-0.657807
-0.4034,-0.915024
0.0233911,-0.999726
0.446612,-0.894728
0.785507,-0.618853
0.974619,-0.223869
0.976618,0.214983
0.789936,0.613189
0.449611,0.893224
0.0209948,0.99978
-0.412591,0.910917
-0.765969,0.642877
-0.968903,0.247442
-0.980239,-0.197816
-0.796533,-0.604595
-0.45329,-0.891363
-0.0184067,-0.999831
0.421044,-0.90704
0.776164,-0.630532
0.974275,-0.225364
0.973993,0.226578
0.774165,0.632984
0.414685,0.909965
-0.0311539,0.999515
-0.471397,0.881921
-0.814315,0.580424
-0.987604,0.156965
-0.953855,-0.300269
-0.718937,-0.695075
-0.331378,-0.943498
0.127357,-0.991857
0.559788,-0.828636
0.873095,-0.48755
0.999162,-0.0409267
0.909646,0.415383
0.622686,0.782472
0.199602,0.979877
-0.267914,0.963443
-0.677504,0.735519
-0.938569,0.345091
-0.99248,-0.122411
-0.826051,-0.563595
-0.475113,-0.879925
-0.0171606,-0.999853
0.445496,-0.895284
0.808487,-0.588514
0.989007,-0.147868
0.94495,0.327213
0.685084,0.728464
0.267729,0.963494
-0.211986,0.977273
-0.643611,0.765352
-0.926787,0.375586
-0.994753,-0.10231
-0.830403,-0.557164
-0.470974,-0.882147
-6.36878e-15,-1
